11,0.05
13,0.3
34,0.0
7,0.15
48,0.1
4,0.05
4,0.2
19,0.1
9,0.2
4,0.15
9,0.2
4,0.15
4,0.1
15,0.15
2,0.7
23,0.1
4,0.25
23,0.2
21,0.1
12,0.05
6,0.0
5,0.0
11,0.1
3,0.1
10,0.05
30,0.0
13,0.05
7,0.15
12,0.05
8,0.15
11,0.0
10,0.05
12,1.0
41,0.15
10,0.0
9,0.1
11,0.0
5,0.0
7,0.0
7,0.0
4,0.1
17,0.1
7,0.9
3,1.0
3,0.1
8,0.05
9,0.0
13,0.1
16,0.05
9,0.15
23,0.1
11,1.0
27,0.1
11,0.0
11,0.2
7,0.2
5,0.05
4,0.15
21,0.25
18,0.15
6,0.6
8,0.2
5,0.05
4,0.75
9,0.1
4,0.2
4,0.7
6,0.05
47,0.0
29,0.05
2,0.75
9,0.15
3,0.4
22,0.05
16,0.2
4,0.15
4,0.15
7,0.1
3,0.05
101,0.05
7,0.0
5,0.05
11,0.1
4,0.1
47,0.05
8,0.15
7,0.0
6,0.0
4,0.2
12,0.05
5,0.25
7,0.0
7,0.9
11,0.2
4,0.05
5,0.1
9,0.1
11,0.0
21,0.1
6,0.3
6,0.15
5,0.05
5,0.1
26,0.1
13,0.0
22,0.1
16,0.05
5,0.05
9,0.15
5,0.0
16,0.0
15,0.2
7,0.0
6,0.05
8,0.8
27,0.0
8,0.05
19,0.2
11,0.15
11,0.0
21,0.05
2,0.8
21,0.1
8,0.05
8,0.15
9,0.45
3,0.1
9,0.05
6,0.0
11,0.1
4,0.15
5,0.0
23,0.0
17,0.2
10,0.15
5,0.15
22,0.0
12,0.25
3,0.0
8,0.1
9,0.0
15,0.05
7,0.2
4,0.2
7,0.1
4,0.25
3,0.1
6,0.05
3,0.05
11,0.1
2,0.75
5,0.0
5,0.1
7,0.0
4,0.1
5,0.15
7,0.15
7,0.1
83,0.1
6,0.2
9,0.2
8,0.1
7,0.05
4,0.4
6,0.0
54,0.0
6,0.25
6,0.05
4,0.2
6,0.0
4,0.35
10,0.15
7,0.0
6,0.1
13,0.15
4,0.2
4,0.9
12,0.0
4,0.85
5,0.15
5,0.05
5,0.0
33,0.05
7,0.1
7,0.15
5,0.05
4,0.25
4,0.05
12,0.2
6,0.2
22,0.0
5,0.2
18,0.15
4,0.05
9,0.1
3,0.3
9,0.1
4,0.2
4,0.05
12,0.0
196,0.0
3,0.1
5,0.7
10,0.1
45,0.0
35,0.05
7,0.0
12,0.0
7,0.2
6,0.05
7,0.0
4,0.2
9,0.0
31,0.25
5,0.0
5,0.4
6,0.2
4,0.0
8,0.15
5,0.0
4,0.0
6,0.85
7,0.15
11,0.85
5,0.15
4,0.05
7,0.1
5,0.35
29,0.25
11,0.15
17,0.05
7,0.0
11,0.1
7,0.05
6,0.2
9,0.15
49,0.05
10,0.0
7,0.15
5,0.2
13,0.65
35,0.0
3,1.0
7,0.25
27,0.05
6,0.05
6,0.05
22,0.25
5,0.05
23,0.0
11,0.05
27,0.1
22,0.05
29,0.0
41,0.25
12,0.0
6,0.05
7,0.15
7,0.15
11,0.15
4,0.1
3,0.8
18,0.0
5,0.15
3,0.2
5,0.05
11,0.05
6,0.05
7,0.1
8,0.05
9,0.15
27,0.95
13,0.05
3,0.0
3,0.2
7,0.4
6,0.05
11,0.0
9,0.15
9,0.15
12,0.05
8,0.05
9,0.05
13,0.0
5,0.05
4,0.2
8,0.1
3,0.9
17,0.3
4,0.15
5,0.05
4,0.15
29,0.9
4,0.1
25,0.1
9,0.85
12,0.15
7,1.0
27,0.05
35,0.1
24,0.05
7,0.15
5,0.2
5,0.25
5,0.05
3,0.1
6,0.2
13,0.0
25,0.0
5,0.0
5,0.0
4,0.2
48,0.15
77,0.15
9,0.05
11,0.2
4,0.05
11,0.95
7,0.05
7,0.05
28,0.0
15,0.05
4,0.0
25,0.0
15,0.8
4,0.1
10,0.1
24,0.1
17,0.0
25,0.05
11,0.1
4,0.05
21,0.0
7,0.2
28,0.0
4,0.05
9,0.05
13,0.05
7,0.2
5,0.1
3,0.15
9,0.0
11,0.05
6,0.15
7,0.05
5,0.15
3,0.1
6,0.05
11,0.1
9,0.4
17,0.05
5,0.25
14,0.1
7,0.2
3,0.1
5,0.4
6,0.0
21,0.95
7,0.15
4,0.1
9,0.05
